figure,sources,coord_sys,Top5_Anchors
fig_gis_A_supply_core/full,"Ctrip Accom, Amap Dining, Transport, Public; Anchor v22_04R2",EPSG:3857 (Web Mercator),
fig_gis_B_smi_core/full,Anchor v22_04R2,EPSG:3857 (Web Mercator),"松花江, 伏尔加庄园, 哈药六厂, 冰雪大世界, 太阳岛"
