anchor_name,xhs_mentions,xhs_heat_proxy,xhs_negative_rate,traffic_pain_rate,queue_pain_rate,cold_pain_rate,price_pain_rate
中央大街,501,501,0.02091633466135458,0.00099601593625498,0.0049800796812749,0.010956175298804782,0.00099601593625498
圣索菲亚教堂,321,321,0.023291925465838508,0.007763975155279503,0.013975155279503106,0.007763975155279503,0.007763975155279503
冰雪大世界,288,288,0.015570934256055362,0.0017301038062283738,0.0017301038062283738,0.012110726643598616,0.005190311418685121
松花江,245,245,0.018292682926829267,0.006097560975609756,0.01016260162601626,0.01016260162601626,0.006097560975609756
太阳岛,243,243,0.02663934426229508,0.0020491803278688526,0.010245901639344262,0.0020491803278688526,0.0020491803278688526
中华巴洛克风情街,188,188,0.018518518518518517,0.007936507936507936,0.013227513227513227,0.007936507936507936,0.007936507936507936
红专街早市,160,160,0.021739130434782608,0.003105590062111801,0.003105590062111801,0.021739130434782608,0.003105590062111801
哈药六厂,99,99,0.045,0.015,0.015,0.025,0.025
防洪纪念塔,99,99,0.005,0.005,0.005,0.005,0.005
极地公园,94,94,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842
东北虎林园,59,59,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333
哈尔滨站,57,57,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414
伏尔加庄园,54,54,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909
中东铁路桥,46,46,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425
果戈里大街,43,43,0.03409090909090909,0.011363636363636364,0.03409090909090909,0.011363636363636364,0.011363636363636364
哈西站,32,32,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152
师大夜市,30,30,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516
群力,29,29,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
龙塔,26,26,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
哈尔滨工业大学,20,20,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
