anchor_name,lng,lat,DHI,SSI,ERI,ERI_plus,SMI,mismatch_rank
松花江,126.56,45.78,1.095159538588294,-1.8581413128551836,-0.3551399201392014,-0.5629851706045887,2.551986910396856,1
伏尔加庄园,126.896381,45.670668,-0.47559324550304993,-2.829539348964373,-0.42176537013989107,-0.5796415331047611,1.8901800040895658,2
哈药六厂,126.685324,45.771216,0.15127936282189733,0.5320715804863031,1.6267487844606954,-0.06751299445461448,1.621910155025116,3
冰雪大世界,126.567694,45.778569,1.2640787224260053,-1.1812393154449676,-0.7377161431486863,1.0741249045534054,1.5564821772650328,4
太阳岛,126.53505,45.802981,1.0865997541880823,-0.305955860256446,-0.6871209810810026,1.023165170666622,0.5483097229652305,5
圣索菲亚教堂,126.626028,45.76984,1.3774549626344177,0.6621730740058837,-0.12617438741391346,-0.5057437874232666,0.5454500838782284,6
中央大街,126.618916,45.774014,1.8430699840313471,0.5593672663157837,-0.7256648943711372,0.39086996373755184,0.37391142600135474,7
中华巴洛克风情街,126.638089,45.780731,0.8187733063799825,0.5722228780280383,-0.22749364795593424,0.31816635831353735,-0.04684541451640578,8
东北虎林园,126.589457,45.819457,-0.38435592031492444,-0.901513825191231,-0.5276352133564558,-0.6061089939089023,-0.11739465335529642,9
哈尔滨工业大学,126.633441,45.749367,-1.48516556011629,0.7180982110145683,1.6351344409247954,-0.06541658033858946,-0.1940151460442614,10
红专街早市,126.614854,45.772316,0.6506431719933196,0.5268895831899909,-0.2876287655987363,0.6020534503391703,-0.24314610615487298,11
果戈里大街,126.650326,45.757621,-0.7095743806058115,0.7157774983335693,0.9579515005440804,1.082098998548356,-0.254305130716843,12
群力,126.560039,45.727206,-1.111167710956022,0.29809217260659165,0.6369330620257565,-0.3149669250633492,-0.6269769522164479,13
哈西站,126.577304,45.707228,-1.0112285286398712,0.17683131243755731,0.42519337559262704,-0.36790184667163156,-0.6653793794003845,14
极地公园,126.586479,45.785251,0.09749486771426294,-0.3588227379220425,-0.9566866832341129,-0.7133718613783164,-0.7205201532860639,15
龙塔,126.680189,45.748517,-1.221645351485805,0.6435582814617097,0.8957260121106925,-0.2502686875421152,-0.7696941929335817,16
师大夜市,126.625032,45.729273,-1.0767853596904078,0.5190721722732625,0.5617996249043233,-0.33375028434370746,-0.9111326823665089,17
中东铁路桥,126.626354,45.787358,-0.6404129816673096,0.29658702528156483,-0.20552058399541834,-0.5255803365686429,-1.197515811677417,18
防洪纪念塔,126.615903,45.777956,0.15127936282189733,0.44243613409674065,-0.9934625235093405,0.9988397674684159,-1.5300309915053023,19
哈尔滨站,126.63269,45.761621,-0.4199039946200218,0.7720352111026778,-0.48747768661913815,-0.5960696122245729,-1.8112738654479987,20
